datetimeobject,STUSPS,positiveRate,testRate,ndays,label
2020-01-27,AK,0.0,0.0,5.0,
2020-01-28,AK,0.0,0.0,6.0,
2020-01-29,AK,0.0,0.0,7.0,
2020-01-30,AK,0.0,0.0,8.0,
2020-01-31,AK,0.0,0.0,9.0,
2020-02-01,AK,0.0,0.0,10.0,
2020-02-02,AK,0.0,0.0,11.0,
2020-02-03,AK,0.0,0.0,12.0,
2020-02-04,AK,0.0,0.0,13.0,
2020-02-05,AK,0.0,0.0,14.0,
2020-02-06,AK,0.0,0.0,15.0,
2020-02-07,AK,0.0,0.0,16.0,
2020-02-08,AK,0.0,0.0,17.0,
2020-02-09,AK,0.0,0.0,18.0,
2020-02-10,AK,0.0,0.0,19.0,
2020-02-11,AK,0.0,0.0,20.0,
2020-02-12,AK,0.0,0.0,21.0,
2020-02-13,AK,0.0,0.0,22.0,
2020-02-14,AK,0.0,0.0,23.0,
2020-02-15,AK,0.0,0.0,24.0,
2020-02-16,AK,0.0,0.0,25.0,
2020-02-17,AK,0.0,0.0,26.0,
2020-02-18,AK,0.0,0.0,27.0,
2020-02-19,AK,0.0,0.0,28.0,
2020-02-20,AK,0.0,0.0,29.0,
2020-02-21,AK,0.0,0.0,30.0,
2020-02-22,AK,0.0,0.0,31.0,
2020-02-23,AK,0.0,0.0,32.0,
2020-02-24,AK,0.0,0.0,33.0,
2020-02-25,AK,0.0,0.0,34.0,
2020-02-26,AK,0.0,0.0,35.0,
2020-02-27,AK,0.0,0.0,36.0,
2020-02-28,AK,0.0,0.0,37.0,
2020-02-29,AK,0.0,0.0,38.0,
2020-03-01,AK,0.0,0.0,39.0,
2020-03-02,AK,0.0,0.0,40.0,
2020-03-03,AK,0.0,0.0,41.0,
2020-03-04,AK,0.0,0.0,42.0,
2020-03-05,AK,0.0,0.0,43.0,
2020-03-06,AK,0.0,1.0935759249260129,44.0,
2020-03-07,AK,0.0,1.6403638873890192,45.0,
2020-03-08,AK,0.0,1.9137578686205223,46.0,
2020-03-09,AK,0.0,3.1440307841622865,47.0,
2020-03-10,AK,0.0,3.1440307841622865,48.0,
2020-03-11,AK,0.0,6.288061568324573,49.0,
2020-03-12,AK,0.0,6.288061568324573,50.0,
2020-03-13,AK,0.1366969906157516,8.201819436945096,51.0,
2020-03-14,AK,0.1366969906157516,19.684366648668227,52.0,
2020-03-15,AK,0.1366969906157516,19.684366648668227,53.0,
2020-03-16,AK,0.1366969906157516,19.684366648668227,54.0,
2020-03-17,AK,0.4100909718472548,46.06688583750829,55.0,
2020-03-18,AK,0.8201819436945096,56.319160133689664,56.0,
2020-03-19,AK,0.8201819436945096,59.8732818896992,57.0,
2020-03-20,AK,1.6403638873890192,95.4144994497946,58.0,
2020-03-21,AK,1.9137578686205223,105.53007675536024,59.0,
2020-03-22,AK,3.007333793546535,132.32268691604753,60.0,
2020-03-23,AK,3.007333793546535,132.32268691604753,61.0,
2020-03-24,AK,4.921091662167057,139.70432440929812,62.0,
2020-03-25,AK,5.741273605861567,231.15461113123592,63.0,
2020-03-26,AK,8.065122446329344,254.256402545298,64.0,
2020-03-27,AK,9.43209235248686,326.4324135904148,65.0,
2020-03-28,AK,11.619244202338885,399.2919095886104,66.0,
2020-03-29,AK,13.943093042806664,455.74776671291585,67.0,
2020-03-30,AK,15.583456930195682,499.4908037099563,68.0,
2020-03-31,AK,16.266941883274438,507.5559261562857,69.0,
2020-04-01,AK,18.180699751894963,629.2162478043045,70.0,
2020-04-02,AK,19.547669658052477,686.4922868723045,71.0,
2020-04-03,AK,21.461427526673,822.3690955443616,72.0,
2020-04-04,AK,23.375185395293524,825.6498233191396,73.0,
2020-04-05,AK,25.288943263914046,859.003889029383,74.0,
2020-04-06,AK,26.109125207608557,940.8853864082182,75.0,
2020-04-07,AK,29.11645900115509,944.9862961266908,76.0,
2020-04-08,AK,30.89351987915986,966.1743296721323,77.0,
2020-04-09,AK,32.12379279470162,987.3623632175737,78.0,
2020-04-10,AK,33.62745969147489,1015.9320342562659,79.0,
2020-04-11,AK,35.13112658824816,1056.9411314409913,80.0,
2020-04-12,AK,37.18158144748443,1069.6539515682562,81.0,
2020-04-13,AK,37.865066400563194,1070.337436521335,82.0,
2020-04-14,AK,38.95864232548921,1141.1464776602943,83.0,
2020-04-15,AK,40.05221825041522,1184.3427266948718,84.0,
2020-04-16,AK,41.009097184725476,1194.0482130285902,85.0,
2020-04-17,AK,42.239370100267244,1291.7865613188526,86.0,
2020-04-18,AK,42.922855053346,1319.8094443950815,87.0,
2020-04-19,AK,43.60634000642476,1352.616722142862,88.0,
2020-04-20,AK,43.87973398765626,1383.9203329938691,89.0,
2020-04-21,AK,44.97330991258227,1519.933838656542,90.0,
2020-04-22,AK,45.79349185627679,1662.0987088969234,91.0,
2020-04-23,AK,46.06688583750829,1662.3721028781551,92.0,
2020-04-24,AK,46.340279818739795,1678.7757417520452,93.0,
2020-04-25,AK,46.340279818739795,2150.517056367004,94.0,
2020-04-26,AK,46.613673799971295,2211.3472171910134,95.0,
2020-04-27,AK,47.160461762434295,2222.146279449658,96.0,
2020-04-28,AK,47.98064370612881,2336.0148726325788,97.0,
2020-04-29,AK,48.52743166859182,2613.5097635825546,98.0,
2020-04-30,AK,48.52743166859182,2613.5097635825546,99.0,
2020-05-01,AK,49.757704584133585,2778.366334265151,100.0,
2020-05-02,AK,49.89440157474933,2925.1789021864683,101.0,
2020-05-03,AK,50.304492546596585,2949.647663506688,102.0,
2020-05-04,AK,50.57788652782809,2969.468727145972,103.0,
2020-05-05,AK,50.71458351844384,3101.928111052635,104.0,
2020-05-06,AK,50.85128050905959,3233.567313015604,105.0,
2020-05-07,AK,51.1246744902911,3327.34144857801,106.0,
2020-05-08,AK,51.53476546213835,3482.08244195504,107.0,
2020-05-09,AK,51.671462452754106,3615.4987047960144,108.0,
2020-05-10,AK,51.80815944336985,3740.5764512094265,109.0,
2020-05-11,AK,52.08155342460135,3920.4696908597557,110.0,
2020-05-12,AK,52.35494740583286,4095.5785358385338,111.0,
2020-05-13,AK,52.35494740583286,4189.62606538217,112.0,
2020-05-14,AK,52.90173536829587,4341.769815937502,113.0,
2020-05-15,AK,53.03843235891162,4431.443041781436,114.0,
2020-05-16,AK,53.58522032137463,4549.412544682828,115.0,
2020-05-17,AK,54.132008283837635,4736.687421826408,116.0,
2020-05-18,AK,54.54209925568489,4867.91653281753,117.0,
2020-05-19,AK,54.54209925568489,4973.036518601043,118.0,
2020-05-20,AK,54.952190227532135,5063.940017360518,119.0,
2020-05-21,AK,54.952190227532135,5405.682493899896,120.0,
2020-05-22,AK,55.22558420876365,5665.543473060441,121.0,
2020-05-23,AK,55.77237217122666,5789.254249567695,122.0,
2020-05-24,AK,55.77237217122666,5947.275970719505,123.0,
2020-05-25,AK,55.9090691618424,6079.1885666637045,124.0,
2020-05-26,AK,56.1824631430739,6146.4434860466545,125.0,
2020-05-27,AK,56.319160133689664,6337.682575918091,126.0,
2020-05-28,AK,58.09622101169443,6557.354639837604,127.0,
2020-05-29,AK,58.779705964773186,6758.162519052143,128.0,
2020-05-30,AK,59.32649392723619,7066.5509298812785,129.0,
2020-05-31,AK,59.32649392723619,7066.5509298812785,130.0,
2020-06-01,AK,63.83749461755599,7407.609921467579,131.0,
2020-06-02,AK,66.57143442987103,7682.780963577086,132.0,
2020-06-03,AK,69.03198026095455,7953.30430800566,133.0,
2020-06-04,AK,70.12555618588057,8215.079045034823,134.0,
2020-06-05,AK,71.62922308265384,8337.14945765469,135.0,
2020-06-06,AK,73.26958697004285,8735.074397337143,136.0,
2020-06-07,AK,74.36316289496887,8872.181478924742,137.0,
2020-06-08,AK,76.96040571666815,9009.97204546542,138.0,
2020-06-09,AK,78.32737562282567,9143.661702287623,139.0,
2020-06-10,AK,81.0613154351407,9257.120204498699,140.0,
2020-06-11,AK,83.52186126622422,9433.596019383633,141.0,
2020-06-12,AK,85.43561913484474,9689.082694844472,142.0,
2020-06-13,AK,89.39983186270155,9815.254017182811,143.0,
2020-06-14,AK,90.3567107970118,10042.717809567423,144.0,
2020-06-15,AK,90.76680176885905,10175.313890464702,145.0,
2020-06-16,AK,92.40716565624808,10418.361139779508,146.0,
2020-06-17,AK,95.14110546856311,10622.586443759441,147.0,
2020-06-18,AK,96.78146935595214,11097.745183139792,148.0,
2020-06-19,AK,98.69522722457265,11432.10602218592,149.0,
2020-06-20,AK,101.56586402750344,11881.429030339898,150.0,
2020-06-21,AK,103.20622791489245,12036.306720707544,151.0,
2020-06-22,AK,104.02640985858697,12415.367475685023,152.0,
2020-06-23,AK,106.35025869905473,12705.575186762264,153.0,
2020-06-24,AK,108.26401656767527,13136.034010211264,154.0,
2020-06-25,AK,111.54474434245331,13594.789110717727,155.0,
2020-06-26,AK,114.27868415476833,13914.660068758585,156.0,
2020-06-27,AK,116.73922998585186,14432.60496620167,157.0,
2020-06-28,AK,120.70344271370865,14804.284083685898,158.0,
2020-06-29,AK,123.57407951663944,14860.19315284774,159.0,
2020-06-30,AK,128.4951711788065,15335.351892228091,160.0,
2020-07-01,AK,133.68965682220505,15638.135726441982,161.0,
2020-07-02,AK,139.02083945621936,15844.41148528115,162.0,
2020-07-03,AK,145.30890102454396,16432.071847938267,163.0,
2020-07-04,AK,151.87035657410001,16777.095052252425,164.0,
2020-07-05,AK,155.5611753207253,16916.662679671106,165.0,
2020-07-06,AK,155.5611753207253,16916.662679671106,166.0,
2020-07-07,AK,161.84923688904988,17964.718506722074,167.0,
2020-07-08,AK,167.59051049491146,18235.51524513188,168.0,
2020-07-09,AK,173.87857206323602,18555.796294144584,169.0,
2020-07-10,AK,180.85011858463935,19401.54057508424,170.0,
2020-07-11,AK,189.32533200281594,19599.067726524,171.0,
2020-07-12,AK,202.1748491206966,19885.994709826464,172.0,
2020-07-13,AK,210.37666855764172,20038.411854363025,173.0,
2020-07-14,AK,215.84454818227178,20432.50927830824,174.0,
2020-07-15,AK,222.95279169429085,21337.443356184514,175.0,
2020-07-16,AK,277.76828493120723,22284.616804161054,176.0,
2020-07-17,AK,284.46643747137904,22611.596005713935,177.0,
2020-07-18,AK,295.12880273940766,23014.715431039785,178.0,
2020-07-19,AK,311.25904763206637,23649.946346431185,179.0,
2020-07-20,AK,329.9865353464243,24002.07779425736,180.0,
2020-07-21,AK,345.1599013047728,24417.636645729242,181.0,
2020-07-22,AK,358.0094184226534,25334.46336178909,182.0,
2020-07-23,AK,366.8947228126773,25905.309994600466,183.0,
2020-07-24,AK,375.6433302120854,27417.588801782527,184.0,
2020-07-25,AK,392.0469690859756,28031.905077609714,185.0,
2020-07-26,AK,424.0340648900614,28332.36506298314,186.0,
2020-07-27,AK,438.2505519140996,28346.581550007177,187.0,
2020-07-28,AK,457.9349185627678,29236.06886794387,188.0,
2020-07-29,AK,470.51104169941704,30574.195709081465,189.0,
2020-07-30,AK,486.50458960145994,30764.614617009207,190.0,
2020-07-31,AK,502.6348344941186,31864.88869447539,191.0,
2020-08-01,AK,523.1393830864813,32620.412961608654,192.0,
2020-08-02,AK,544.6008106131543,33229.671448783054,193.0,
2020-08-03,AK,555.5365698624145,33601.07717228605,194.0,
2020-08-04,AK,563.8750862899753,34536.357982079026,195.0,
2020-08-05,AK,571.803511745689,35169.26504862995,196.0,
2020-08-06,AK,577.271391370319,35756.105229343375,197.0,
2020-08-07,AK,586.1566957603428,36751.12262403543,198.0,
2020-08-08,AK,597.7759399626817,37399.33975353533,199.0,
2020-08-09,AK,611.4456390242569,37990.69093493907,200.0,
2020-08-10,AK,620.4676404048964,38322.04444019165,201.0,
2020-08-11,AK,627.3024899356841,39743.829839586084,202.0,
2020-08-12,AK,636.3244913163237,39995.07890833783,203.0,
2020-08-13,AK,649.3107054248201,40196.1601815336,204.0,
2020-08-14,AK,665.5776473080946,40452.60373592876,205.0,
2020-08-15,AK,677.1968915104334,40554.85308490934,206.0,
2020-08-16,AK,691.6867725157031,41216.19312550834,207.0,
2020-08-17,AK,698.5216220464906,41781.16178772324,208.0,
2020-08-18,AK,707.680320417746,42377.29736379854,209.0,
2020-08-19,AK,717.2491097608486,42492.12283591577,210.0,
2020-08-20,AK,728.8683539631876,42737.90402504289,211.0,
2020-08-21,AK,738.5738402969058,43952.866877635686,212.0,
2020-08-22,AK,751.0132664429393,44602.45097704174,213.0,
2020-08-23,AK,759.7618738423474,44760.0626072217,214.0,
2020-08-24,AK,769.33066318545,45178.76548947775,215.0,
