datetimeobject,STUSPS,positiveIncrease,testIncrease,deathIncrease,positiveCumulative,testCumulative,deathCumulative,positiveRate,testRate,deathRate,ndays,positiveIncreaseRate,testIncreaseRate,deathIncreaseRate
2020-05-31,AL,544.0,5352.0,13.0,17903.0,217553.0,631.0,365.13001243069556,4436.973110335425,12.869186049476003,130,11.094829177361246,109.15353999492167,0.2651337854884121
2020-06-01,AL,460.0,5970.0,15.0,18363.0,223523.0,646.0,374.51166945567013,4558.730702594334,13.175109648116479,131,9.381657024974583,121.75759225890926,0.3059235986404755
2020-06-02,AL,279.0,279.0,5.0,18642.0,223802.0,651.0,380.20184839038296,4564.420881529048,13.277084180996637,132,5.690178934712844,5.690178934712844,0.10197453288015851
2020-06-03,AL,209.0,7792.0,2.0,18851.0,231594.0,653.0,384.4643838647736,4723.337993569486,13.3178739941487,133,4.262535474390626,158.917112040439,0.040789813152063405
2020-06-04,AL,221.0,3705.0,0.0,19072.0,235299.0,653.0,388.97165821807664,4798.901122433683,13.3178739941487,134,4.507274353303006,75.56312886419745,0.0
2020-06-05,AL,315.0,4174.0,23.0,19387.0,239473.0,676.0,395.3960537895266,4884.02946248204,13.786956845397432,135,6.4243955714499865,85.12834004835632,0.4690828512487291
2020-06-06,AL,656.0,6171.0,13.0,20043.0,245644.0,689.0,408.7751125034034,5009.8864309627315,14.052090630885843,136,13.379058713876796,125.85696848069163,0.2651337854884121
2020-06-07,AL,457.0,13922.0,3.0,20500.0,259566.0,692.0,418.09558480864985,5293.824320314245,14.113275350613938,137,9.320472305246488,283.9378893515134,0.061184719728095104
2020-06-08,AL,425.0,425.0,26.0,20925.0,259991.0,718.0,426.7634201034634,5302.492155609058,14.643542921590763,138,8.667835294813473,8.667835294813473,0.5302675709768242
2020-06-09,AL,497.0,7748.0,11.0,21422.0,267739.0,729.0,436.8996886717511,5460.511891760151,14.86788689392711,139,10.136268568287756,158.01973615109364,0.22434397233634873
2020-06-10,AL,567.0,5318.0,15.0,21989.0,273057.0,744.0,448.46360070036104,5568.972004931488,15.173810492567586,140,11.563912028609975,108.46011317133659,0.3059235986404755
2020-06-11,AL,856.0,5769.0,11.0,22845.0,278826.0,755.0,465.9216407294442,5686.6302209686155,15.398154464903936,141,17.458040029083136,117.65821603712689,0.22434397233634873
2020-06-12,AL,865.0,7559.0,14.0,23710.0,286385.0,769.0,483.5632349177116,5840.795319776839,15.683683156968378,142,17.641594188267423,154.16509880822363,0.2855286920644438
2020-06-13,AL,891.0,6867.0,4.0,24601.0,293252.0,773.0,501.7350966769559,5980.847143234449,15.765262783272506,143,18.171861759244248,140.0518234576097,0.08157962630412681
2020-06-14,AL,1014.0,4203.0,0.0,25615.0,297455.0,773.0,522.4155319450521,6066.56693557351,15.765262783272506,144,20.680435268096147,85.71979233906124,0.0
2020-06-15,AL,657.0,5219.0,1.0,26272.0,302674.0,774.0,535.8149855655049,6173.007952993819,15.785657689848536,145,13.399453620452828,106.44101742030945,0.020394906576031702
2020-06-16,AL,640.0,2750.0,11.0,26912.0,305424.0,785.0,548.8677257741651,6229.093946077906,16.010001662184884,146,13.052740208660289,56.08599308408718,0.22434397233634873
2020-06-17,AL,400.0,5299.0,5.0,27312.0,310723.0,790.0,557.0256884045779,6337.166556024298,16.111976195065047,147,8.157962630412682,108.07260994639199,0.10197453288015851
2020-06-18,AL,894.0,11811.0,20.0,28206.0,322534.0,810.0,575.2587348835502,6578.050797593808,16.51987432658568,148,18.23304647897234,240.88424156951044,0.40789813152063403
2020-06-19,AL,796.0,8791.0,12.0,29002.0,331325.0,822.0,591.4930805180715,6757.342421303704,16.76461320549806,149,16.234345634521233,179.29162370989468,0.24473887891238041
2020-06-20,AL,547.0,8198.0,16.0,29549.0,339523.0,838.0,602.6490944151608,6924.539865414012,17.090931710714564,150,11.156013897089341,167.19744411030788,0.32631850521650724
2020-06-21,AL,472.0,5155.0,1.0,30021.0,344678.0,839.0,612.2754903190478,7029.675608813454,17.111326617290597,151,9.626395903886964,105.13574339944343,0.020394906576031702
2020-06-22,AL,433.0,4432.0,2.0,30454.0,349110.0,841.0,621.1064848664695,7120.065834758428,17.15211643044266,152,8.830994547421726,90.3902259449725,0.040789813152063405
2020-06-23,AL,643.0,4928.0,23.0,31097.0,354038.0,864.0,634.2204097948579,7220.571934365113,17.62119928169139,153,13.113924928388384,100.50609960668423,0.4690828512487291
2020-06-24,AL,967.0,4721.0,27.0,32064.0,358759.0,891.0,653.9422844538805,7316.856288310557,18.171861759244248,154,19.721874659022657,96.28435394544566,0.5506624775528559
