datetimeobject,variable,value
2020-02-24,8d,0.0
2020-02-25,8d,0.0
2020-02-26,8d,0.0
2020-02-27,8d,0.0
2020-02-28,8d,0.5
2020-02-29,8d,1.25
2020-03-01,8d,2.0
2020-03-02,8d,2.25
2020-03-03,8d,3.0
2020-03-04,8d,3.0
2020-03-05,8d,3.0
2020-03-06,8d,3.25
2020-03-07,8d,3.25
2020-03-08,8d,4.0
2020-03-09,8d,4.0
2020-03-10,8d,4.0
2020-03-11,8d,4.5
2020-03-12,8d,6.0
2020-03-13,8d,6.0
2020-03-14,8d,6.5
2020-03-15,8d,8.25
2020-03-16,8d,10.5
2020-03-17,8d,16.5
2020-03-18,8d,21.25
2020-03-19,8d,24.25
2020-03-20,8d,34.75
2020-03-21,8d,49.75
2020-03-22,8d,62.75
2020-03-23,8d,75.25
2020-03-24,8d,108.5
2020-03-25,8d,165.0
2020-03-26,8d,231.25
2020-03-27,8d,251.75
2020-03-28,8d,333.5
2020-03-29,8d,429.75
2020-03-30,8d,516.75
2020-03-31,8d,533.5
2020-04-01,8d,648.0
2020-04-02,8d,892.75
2020-04-03,8d,1028.25
2020-04-04,8d,1176.5
2020-04-05,8d,1265.5
2020-04-06,8d,1265.5
2020-04-07,8d,1323.75
2020-04-08,8d,1566.0
2020-04-09,8d,1947.0
2020-04-10,8d,1960.0
2020-04-11,8d,1974.5
2020-04-12,8d,1974.5
2020-04-13,8d,1974.5
2020-04-14,8d,2000.25
2020-04-15,8d,2113.0
2020-04-16,8d,2177.5
2020-04-17,8d,2177.5
2020-04-18,8d,2177.5
2020-04-19,8d,2177.5
2020-04-20,8d,2177.5
2020-04-21,8d,2322.5
2020-04-22,8d,2213.0
2020-04-23,8d,2093.0
2020-04-24,8d,2068.0
2020-04-25,8d,1915.0
2020-04-26,8d,1915.0
2020-04-27,8d,1915.0
2020-04-28,8d,2047.75
2020-04-29,8d,2047.75
2020-04-30,8d,2060.75
2020-05-01,8d,2060.75
2020-05-02,8d,2060.75
2020-05-03,8d,2060.75
2020-05-04,8d,2060.75
2020-05-05,8d,2199.0
2020-05-06,8d,2199.0
2020-05-07,8d,2199.0
2020-05-08,8d,2060.25
2020-05-09,8d,2060.25
2020-05-10,8d,2060.25
2020-05-11,8d,2060.25
2020-05-12,8d,2060.25
2020-05-13,8d,1817.25
2020-05-14,8d,1802.0
2020-05-15,8d,1716.75
2020-05-16,8d,1550.5
2020-05-17,8d,1550.5
2020-05-18,8d,1550.5
2020-05-19,8d,1550.5
2020-05-20,8d,1550.5
2020-05-21,8d,1419.5
2020-05-22,8d,1389.0
2020-05-23,8d,1348.25
2020-05-24,8d,1348.25
2020-05-25,8d,1348.25
2020-05-26,8d,1348.25
2020-05-27,8d,1348.25
2020-05-28,8d,1322.25
2020-05-29,8d,1249.0
2020-05-30,8d,1190.75
2020-05-31,8d,1190.75
2020-06-01,8d,1190.75
2020-06-02,8d,1190.75
2020-06-03,8d,1190.75
2020-06-04,8d,1038.0
2020-06-05,8d,967.0
