datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate
2020-07-11,1594425600000,OK,40117,415.2418172936004,18.319491939423546
2020-07-12,1594512000000,OK,40117,427.45481191988273,18.319491939423546
2020-07-13,1594598400000,OK,40117,433.5613092330239,18.319491939423546
2020-07-14,1594684800000,OK,40117,445.7743038593063,18.319491939423546
2020-07-15,1594771200000,OK,40117,457.98729848558867,18.319491939423546
2020-07-16,1594857600000,OK,40117,457.98729848558867,18.319491939423546
2020-07-17,1594944000000,OK,40117,476.3067904250122,18.319491939423546
2020-07-18,1595030400000,OK,40117,512.9457743038593,18.319491939423546
2020-07-19,1595116800000,OK,40117,512.9457743038593,18.319491939423546
2020-07-20,1595203200000,OK,40117,512.9457743038593,18.319491939423546
2020-07-21,1595289600000,OK,40117,512.9457743038593,18.319491939423546
2020-07-22,1595376000000,OK,40117,525.1587689301416,18.319491939423546
2020-07-23,1595462400000,OK,40117,561.7977528089888,18.319491939423546
2020-07-24,1595548800000,OK,40117,574.0107474352711,18.319491939423546
2020-07-25,1595635200000,OK,40117,616.7562286272594,18.319491939423546
2020-07-26,1595721600000,OK,40117,653.3952125061065,18.319491939423546
2020-07-27,1595808000000,OK,40117,653.3952125061065,18.319491939423546
2020-07-28,1595894400000,OK,40117,683.9276990718124,18.319491939423546
2020-07-29,1595980800000,OK,40117,690.0341963849536,18.319491939423546
2020-07-30,1596067200000,OK,40117,690.0341963849536,18.319491939423546
2020-07-31,1596153600000,OK,40117,708.3536883243771,18.319491939423546
2020-08-01,1596240000000,OK,40117,732.7796775769418,18.319491939423546
2020-08-02,1596326400000,OK,40117,732.7796775769418,18.319491939423546
2020-08-03,1596412800000,OK,40117,744.9926722032242,18.319491939423546
2020-08-04,1596499200000,OK,40117,769.418661455789,18.319491939423546
2020-08-05,1596585600000,OK,40117,775.5251587689302,18.319491939423546
2020-08-06,1596672000000,OK,40117,793.8446507083537,18.319491939423546
2020-08-07,1596758400000,OK,40117,818.2706399609184,18.319491939423546
2020-08-08,1596844800000,OK,40117,830.4836345872008,18.319491939423546
2020-08-09,1596931200000,OK,40117,836.5901319003419,18.319491939423546
2020-08-10,1597017600000,OK,40117,842.6966292134831,18.319491939423546
2020-08-11,1597104000000,OK,40117,903.761602344895,18.319491939423546
2020-08-12,1597190400000,OK,40117,903.761602344895,18.319491939423546
2020-08-13,1597276800000,OK,40117,922.0810942843185,18.319491939423546
2020-08-14,1597363200000,OK,40117,934.2940889106009,18.319491939423546
2020-08-15,1597449600000,OK,40117,1013.6785539814363,18.319491939423546
2020-08-16,1597536000000,OK,40117,1013.6785539814363,18.319491939423546
2020-08-17,1597622400000,OK,40117,1025.8915486077185,18.319491939423546
2020-08-18,1597708800000,OK,40117,1038.1045432340009,18.319491939423546
2020-08-19,1597795200000,OK,40117,1050.3175378602832,18.319491939423546
2020-08-20,1597881600000,OK,40117,1086.9565217391305,18.319491939423546
2020-08-21,1597968000000,OK,40117,1135.80850024426,18.319491939423546
2020-08-22,1598054400000,OK,40117,1184.6604787493893,18.319491939423546
2020-08-23,1598140800000,OK,40117,1190.7669760625306,18.319491939423546
2020-08-24,1598227200000,OK,40117,1202.979970688813,18.319491939423546
2020-08-25,1598313600000,OK,40117,1202.979970688813,18.319491939423546
2020-08-26,1598400000000,OK,40117,1227.4059599413777,18.319491939423546
2020-08-27,1598486400000,OK,40117,1239.61895456766,18.319491939423546
2020-08-28,1598572800000,OK,40117,1282.3644357596481,18.319491939423546
2020-08-29,1598659200000,OK,40117,1325.1099169516365,18.319491939423546
2020-08-30,1598745600000,OK,40117,1325.1099169516365,18.319491939423546
2020-08-31,1598832000000,OK,40117,1331.2164142647778,18.319491939423546
2020-09-01,1598918400000,OK,40117,1331.2164142647778,18.319491939423546
2020-09-02,1599004800000,OK,40117,1331.2164142647778,18.319491939423546
2020-09-03,1599091200000,OK,40117,1361.7489008304835,18.319491939423546
2020-09-04,1599177600000,OK,40117,1361.7489008304835,18.319491939423546
2020-09-05,1599264000000,OK,40117,1398.3878847093306,18.319491939423546
2020-01-22,1579651200000,OK,40119,0.0,0.0
2020-01-23,1579737600000,OK,40119,0.0,0.0
2020-01-24,1579824000000,OK,40119,0.0,0.0
2020-01-25,1579910400000,OK,40119,0.0,0.0
2020-01-26,1579996800000,OK,40119,0.0,0.0
2020-01-27,1580083200000,OK,40119,0.0,0.0
2020-01-28,1580169600000,OK,40119,0.0,0.0
2020-01-29,1580256000000,OK,40119,0.0,0.0
2020-01-30,1580342400000,OK,40119,0.0,0.0
2020-01-31,1580428800000,OK,40119,0.0,0.0
