datetimeobject,epochmilli,STUSPS,positiveRate,deathRate,label
2021-05-31,1622419200000.0,MS,10675.271970590182,245.78742529355887,
2021-06-01,1622505600000.0,MS,10676.649589788683,245.85462623007115,
2021-06-02,1622592000000.0,MS,10680.110438019065,246.0226285713518,
2021-06-03,1622678400000.0,MS,10686.528127455984,246.08982950786404,
2021-06-04,1622764800000.0,MS,10691.299393948355,246.12342997612015,
2021-06-05,1622851200000.0,MS,10691.299393948355,246.12342997612015,
2021-06-06,1622937600000.0,MS,10691.299393948355,246.12342997612015,
2021-06-07,1623024000000.0,MS,10702.454749409388,246.39223372216915,
2021-06-08,1623110400000.0,MS,10704.369976099986,246.72823840473043,
2021-06-09,1623196800000.0,MS,10707.965226203392,246.8626402777549,
2021-06-10,1623283200000.0,MS,10714.450116576825,246.89624074601102,
2021-06-11,1623369600000.0,MS,10722.413427553525,247.06424308729166,
2021-06-12,1623456000000.0,MS,10722.413427553525,247.06424308729166,
2021-06-13,1623542400000.0,MS,10722.413427553525,247.06424308729166,
2021-06-14,1623628800000.0,MS,10731.283951173144,247.0978435555478,
2021-06-15,1623715200000.0,MS,10732.930374117694,247.33304683334066,
2021-06-16,1623801600000.0,MS,10735.719212982953,247.56825011113355,
2021-06-17,1623888000000.0,MS,10742.170502888128,247.60185057938966,
2021-06-18,1623974400000.0,MS,10750.369017142624,247.66905151590194,
2021-06-19,1624060800000.0,MS,10750.369017142624,247.66905151590194,
2021-06-20,1624147200000.0,MS,10750.369017142624,247.66905151590194,
2021-06-21,1624233600000.0,MS,10755.745092063602,247.90425479369478,
2021-06-22,1624320000000.0,MS,10757.996323436764,248.30746041276834,
2021-06-23,1624406400000.0,MS,10761.961178690986,248.30746041276834,
2021-06-24,1624492800000.0,MS,10772.108520104335,248.34106088102445,
2021-06-25,1624579200000.0,MS,10780.273433890576,248.47546275404892,
2021-06-26,1624665600000.0,MS,10780.273433890576,248.47546275404892,
2021-06-27,1624752000000.0,MS,10780.273433890576,248.47546275404892,
2021-06-28,1624838400000.0,MS,10790.353574367411,248.6770655635857,
2021-06-29,1624924800000.0,MS,10799.358499860055,249.04667071440306,
2021-06-30,1625011200000.0,MS,10811.387467495746,249.04667071440306,
2021-07-01,1625097600000.0,MS,10817.469152250105,249.14747211917145,
2021-07-02,1625184000000.0,MS,10825.600465568088,249.28187399219595,
2021-07-03,1625270400000.0,MS,10825.600465568088,249.28187399219595,
2021-07-04,1625356800000.0,MS,10825.600465568088,249.28187399219595,
2021-07-05,1625443200000.0,MS,10825.600465568088,249.28187399219595,
2021-07-06,1625529600000.0,MS,10847.27276759329,249.48347680173273,
2021-07-07,1625616000000.0,MS,10860.10814646713,249.8530819525501,
2021-07-08,1625702400000.0,MS,10874.489146880751,249.8866824208062,
2021-07-09,1625788800000.0,MS,10888.4669416753,249.9538833573185,
2021-07-10,1625875200000.0,MS,10888.4669416753,249.9538833573185,
2021-07-11,1625961600000.0,MS,10888.4669416753,249.9538833573185,
2021-07-12,1626048000000.0,MS,10915.212914407175,250.02108429383074,
2021-07-13,1626134400000.0,MS,10922.571416955267,250.35708897639196,
2021-07-14,1626220800000.0,MS,10944.109317107444,250.5250913176726,
2021-07-15,1626307200000.0,MS,10962.79117745785,250.65949319069708,
2021-07-16,1626393600000.0,MS,10980.767427974875,250.82749553197772,
2021-07-17,1626480000000.0,MS,10980.767427974875,250.82749553197772,
2021-07-18,1626566400000.0,MS,10980.767427974875,250.82749553197772,
2021-07-19,1626652800000.0,MS,11058.854916202114,250.9282969367461,
2021-07-20,1626739200000.0,MS,11078.175185449385,251.23070115105122,
2021-07-21,1626825600000.0,MS,11110.431634975264,251.49950489710025,
2021-07-22,1626912000000.0,MS,11150.752196882615,251.80190911140537,
2021-07-23,1626998400000.0,MS,11195.004013575934,252.0707128574544,
2021-07-24,1627084800000.0,MS,11195.004013575934,252.0707128574544,
2021-07-25,1627171200000.0,MS,11195.004013575934,252.0707128574544,
2021-07-26,1627257600000.0,MS,11316.234503044034,252.27231566699112,
2021-07-27,1627344000000.0,MS,11359.612707562692,252.77632269083304,
2021-07-28,1627430400000.0,MS,11422.613585542927,252.97792550036976,
2021-07-29,1627516800000.0,MS,11486.723278975616,253.11232737339427,
2021-07-30,1627603200000.0,MS,11541.928848320431,253.44833205595552,
2021-07-31,1627689600000.0,MS,11541.928848320431,253.44833205595552,
2021-08-01,1627776000000.0,MS,11541.928848320431,253.44833205595552,
2021-08-02,1627862400000.0,MS,11709.628785386752,253.8851381432852,
2021-08-03,1627948800000.0,MS,11762.515922421895,254.99395359573734,
2021-08-04,1628035200000.0,MS,11857.302843372425,255.22915687353017,
2021-08-05,1628121600000.0,MS,11963.614724934807,255.7667643656282,
2021-08-06,1628208000000.0,MS,12033.974105463134,256.0355681116772,
2021-08-07,1628294400000.0,MS,12033.974105463134,256.0355681116772,
2021-08-08,1628380800000.0,MS,12033.974105463134,256.0355681116772,
2021-08-09,1628467200000.0,MS,12266.220542049474,257.0099816911048,
2021-08-10,1628553600000.0,MS,12383.41897532684,258.2195985483254,
2021-08-11,1628640000000.0,MS,12489.697256420966,259.0596102547285,
2021-08-12,1628726400000.0,MS,12637.942522366991,259.731619619851,
2021-08-13,1628812800000.0,MS,12806.717674417512,260.7732341357909,
2021-08-14,1628899200000.0,MS,12806.717674417512,260.7732341357909,
2021-08-15,1628985600000.0,MS,12806.717674417512,260.7732341357909,
2021-08-16,1629072000000.0,MS,13070.111745077278,262.52045848510943,
2021-08-17,1629158400000.0,MS,13181.766101092384,264.7716898582699,
2021-08-18,1629244800000.0,MS,13319.024013918657,265.9813067154904,
2021-08-19,1629331200000.0,MS,13480.541464825854,266.686916548869,
2021-08-20,1629417600000.0,MS,13650.156628582778,268.5013418346998,
2021-08-21,1629504000000.0,MS,13650.156628582778,268.5013418346998,
2021-08-22,1629590400000.0,MS,13650.156628582778,268.5013418346998,
2021-08-23,1629676800000.0,MS,13893.726422971431,270.3829680570429,
2021-08-24,1629763200000.0,MS,14004.30556400234,274.07901956521664,
2021-08-25,1629849600000.0,MS,14118.043149049325,274.85183033510754,
2021-08-26,1629936000000.0,MS,14233.124752826556,275.9942462558158,
2021-08-27,1630022400000.0,MS,14368.90424504956,278.17827669246395,
2021-08-28,1630108800000.0,MS,14368.90424504956,278.17827669246395,
2021-08-29,1630195200000.0,MS,14368.90424504956,278.17827669246395,
2021-08-30,1630281600000.0,MS,14636.733577519137,280.93351508946625,
2021-08-31,1630368000000.0,MS,14674.063697751692,282.54633756576027,
2021-09-01,1630454400000.0,MS,14772.815473956443,285.2343750262504,
2021-09-02,1630540800000.0,MS,14902.177276742528,285.83918345486063,
2021-09-03,1630627200000.0,MS,15014.806046337062,286.94799890731275,
2021-09-04,1630713600000.0,MS,15014.806046337062,286.94799890731275,
2021-09-05,1630800000000.0,MS,15014.806046337062,286.94799890731275,
2021-09-06,1630886400000.0,MS,15209.050353325723,291.11445697107234,
2020-03-09,1583712000000.0,MT,0.0,0.0,
2020-03-10,1583798400000.0,MT,0.0,0.0,
2020-03-11,1583884800000.0,MT,0.0,0.0,
2020-03-12,1583971200000.0,MT,0.0,0.0,
2020-03-13,1584057600000.0,MT,0.0,0.0,
2020-03-14,1584144000000.0,MT,0.28069440052096883,0.0,
2020-03-15,1584230400000.0,MT,0.46782400086828135,0.0,
2020-03-16,1584316800000.0,MT,0.46782400086828135,0.0,
2020-03-17,1584403200000.0,MT,0.7485184013892502,0.0,
2020-03-18,1584489600000.0,MT,0.9356480017365627,0.0,
2020-03-19,1584576000000.0,MT,0.9356480017365627,0.0,
2020-03-20,1584662400000.0,MT,1.777731203299469,0.0,
2020-03-21,1584748800000.0,MT,2.432684804515063,0.0,
2020-03-22,1584835200000.0,MT,3.0876384057306567,0.0,
2020-03-23,1584921600000.0,MT,3.0876384057306567,0.0,
2020-03-24,1585008000000.0,MT,4.2104160078145325,0.0,
2020-03-25,1585094400000.0,MT,6.0817120112876575,0.0,
2020-03-26,1585180800000.0,MT,8.420832015629065,0.0,
2020-03-27,1585267200000.0,MT,10.198563218928532,0.0,
2020-03-28,1585353600000.0,MT,12.069859222401659,0.09356480017365627,
2020-03-29,1585440000000.0,MT,14.408979226743066,0.09356480017365627,
2020-03-30,1585526400000.0,MT,15.999580829695223,0.3742592006946251,
2020-03-31,1585612800000.0,MT,18.432265634210285,0.3742592006946251,
2020-04-01,1585699200000.0,MT,19.27434883577319,0.46782400086828135,
2020-04-02,1585785600000.0,MT,22.549116841851163,0.46782400086828135,
2020-04-03,1585872000000.0,MT,22.73624644219847,0.46782400086828135,
2020-04-04,1585958400000.0,MT,24.79467204601891,0.46782400086828135,
