datetimeobject,STUSPS,range,midpoint,median,score,rank
2020-02-19,OK,0.0,0.0,0.0,0.0,1.0
2020-02-19,OR,0.0,0.0,0.0,0.0,1.0
2020-02-19,PA,0.0,0.0,0.0,0.0,1.0
2020-02-19,PR,0.0,0.0,0.0,0.0,1.0
2020-02-19,RI,0.0,0.0,0.0,0.0,1.0
2020-02-19,SC,0.0,0.0,0.0,0.0,1.0
2020-02-19,SD,0.0,0.0,0.0,0.0,1.0
2020-02-19,TN,0.0,0.0,0.0,0.0,1.0
2020-02-19,TX,0.0,0.0,0.0,0.0,1.0
2020-02-19,UT,0.0,0.0,0.0,0.0,1.0
2020-02-19,VA,0.0,0.0,0.0,0.0,1.0
2020-02-19,VT,0.0,0.0,0.0,0.0,1.0
2020-02-19,WA,0.0,0.0,0.0,0.0,1.0
2020-02-19,WI,0.0,0.0,0.0,0.0,1.0
2020-02-19,WV,0.0,0.0,0.0,0.0,1.0
2020-02-19,WY,0.0,0.0,0.0,0.0,1.0
2020-02-20,AK,0.0,0.0,0.0,0.0,1.0
2020-02-20,AL,0.0,0.0,0.0,0.0,1.0
2020-02-20,AR,0.0,0.0,0.0,0.0,1.0
2020-02-20,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-20,CA,0.0,0.0,0.0,0.0,1.0
2020-02-20,CO,0.0,0.0,0.0,0.0,1.0
2020-02-20,CT,0.0,0.0,0.0,0.0,1.0
2020-02-20,DC,0.0,0.0,0.0,0.0,1.0
2020-02-20,DE,0.0,0.0,0.0,0.0,1.0
2020-02-20,FL,0.0,0.0,0.0,0.0,1.0
2020-02-20,GA,0.0,0.0,0.0,0.0,1.0
2020-02-20,HI,0.0,0.0,0.0,0.0,1.0
2020-02-20,IA,0.0,0.0,0.0,0.0,1.0
2020-02-20,ID,0.0,0.0,0.0,0.0,1.0
2020-02-20,IL,0.0,0.0,0.0,0.0,1.0
2020-02-20,IN,0.0,0.0,0.0,0.0,1.0
2020-02-20,KS,0.0,0.0,0.0,0.0,1.0
2020-02-20,KY,0.0,0.0,0.0,0.0,1.0
2020-02-20,LA,0.0,0.0,0.0,0.0,1.0
2020-02-20,MA,0.0,0.0,0.0,0.0,1.0
2020-02-20,MD,0.0,0.0,0.0,0.0,1.0
2020-02-20,ME,0.0,0.0,0.0,0.0,1.0
2020-02-20,MI,0.0,0.0,0.0,0.0,1.0
2020-02-20,MN,0.0,0.0,0.0,0.0,1.0
2020-02-20,MO,0.0,0.0,0.0,0.0,1.0
2020-02-20,MS,0.0,0.0,0.0,0.0,1.0
2020-02-20,MT,0.0,0.0,0.0,0.0,1.0
2020-02-20,NC,0.0,0.0,0.0,0.0,1.0
2020-02-20,ND,0.0,0.0,0.0,0.0,1.0
2020-02-20,NE,0.0,0.0,0.0,0.0,1.0
2020-02-20,NH,0.0,0.0,0.0,0.0,1.0
2020-02-20,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-20,NM,0.0,0.0,0.0,0.0,1.0
2020-02-20,NV,0.0,0.0,0.0,0.0,1.0
2020-02-20,NY,0.0,0.0,0.0,0.0,1.0
2020-02-20,OH,0.0,0.0,0.0,0.0,1.0
2020-02-20,OK,0.0,0.0,0.0,0.0,1.0
2020-02-20,OR,0.0,0.0,0.0,0.0,1.0
2020-02-20,PA,0.0,0.0,0.0,0.0,1.0
2020-02-20,PR,0.0,0.0,0.0,0.0,1.0
2020-02-20,RI,0.0,0.0,0.0,0.0,1.0
2020-02-20,SC,0.0,0.0,0.0,0.0,1.0
2020-02-20,SD,0.0,0.0,0.0,0.0,1.0
2020-02-20,TN,0.0,0.0,0.0,0.0,1.0
2020-02-20,TX,0.0,0.0,0.0,0.0,1.0
2020-02-20,UT,0.0,0.0,0.0,0.0,1.0
2020-02-20,VA,0.0,0.0,0.0,0.0,1.0
2020-02-20,VT,0.0,0.0,0.0,0.0,1.0
2020-02-20,WA,0.0,0.0,0.0,0.0,1.0
2020-02-20,WI,0.0,0.0,0.0,0.0,1.0
2020-02-20,WV,0.0,0.0,0.0,0.0,1.0
2020-02-20,WY,0.0,0.0,0.0,0.0,1.0
2020-02-21,AK,0.0,0.0,0.0,0.0,1.0
2020-02-21,AL,0.0,0.0,0.0,0.0,1.0
2020-02-21,AR,0.0,0.0,0.0,0.0,1.0
2020-02-21,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-21,CA,0.0,0.0,0.0,0.0,1.0
2020-02-21,CO,0.0,0.0,0.0,0.0,1.0
2020-02-21,CT,0.0,0.0,0.0,0.0,1.0
2020-02-21,DC,0.0,0.0,0.0,0.0,1.0
2020-02-21,DE,0.0,0.0,0.0,0.0,1.0
2020-02-21,FL,0.0,0.0,0.0,0.0,1.0
2020-02-21,GA,0.0,0.0,0.0,0.0,1.0
2020-02-21,HI,0.0,0.0,0.0,0.0,1.0
2020-02-21,IA,0.0,0.0,0.0,0.0,1.0
2020-02-21,ID,0.0,0.0,0.0,0.0,1.0
2020-02-21,IL,0.0,0.0,0.0,0.0,1.0
2020-02-21,IN,0.0,0.0,0.0,0.0,1.0
2020-02-21,KS,0.0,0.0,0.0,0.0,1.0
2020-02-21,KY,0.0,0.0,0.0,0.0,1.0
2020-02-21,LA,0.0,0.0,0.0,0.0,1.0
2020-02-21,MA,0.0,0.0,0.0,0.0,1.0
2020-02-21,MD,0.0,0.0,0.0,0.0,1.0
2020-02-21,ME,0.0,0.0,0.0,0.0,1.0
2020-02-21,MI,0.0,0.0,0.0,0.0,1.0
2020-02-21,MN,0.0,0.0,0.0,0.0,1.0
2020-02-21,MO,0.0,0.0,0.0,0.0,1.0
2020-02-21,MS,0.0,0.0,0.0,0.0,1.0
2020-02-21,MT,0.0,0.0,0.0,0.0,1.0
2020-02-21,NC,0.0,0.0,0.0,0.0,1.0
2020-02-21,ND,0.0,0.0,0.0,0.0,1.0
2020-02-21,NE,0.0,0.0,0.0,0.0,1.0
2020-02-21,NH,0.0,0.0,0.0,0.0,1.0
2020-02-21,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-21,NM,0.0,0.0,0.0,0.0,1.0
2020-02-21,NV,0.0,0.0,0.0,0.0,1.0
2020-02-21,NY,0.0,0.0,0.0,0.0,1.0
2020-02-21,OH,0.0,0.0,0.0,0.0,1.0
2020-02-21,OK,0.0,0.0,0.0,0.0,1.0
2020-02-21,OR,0.0,0.0,0.0,0.0,1.0
2020-02-21,PA,0.0,0.0,0.0,0.0,1.0
2020-02-21,PR,0.0,0.0,0.0,0.0,1.0
2020-02-21,RI,0.0,0.0,0.0,0.0,1.0
2020-02-21,SC,0.0,0.0,0.0,0.0,1.0
2020-02-21,SD,0.0,0.0,0.0,0.0,1.0
2020-02-21,TN,0.0,0.0,0.0,0.0,1.0
2020-02-21,TX,0.0,0.0,0.0,0.0,1.0
2020-02-21,UT,0.0,0.0,0.0,0.0,1.0
