datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-26,1579996800000,AK,0.0,0.0
2020-01-26,1579996800000,AZ,0.013738684990775159,0.0
2020-01-26,1579996800000,AR,0.0,0.0
2020-01-26,1579996800000,CA,0.005061724823733659,0.0
2020-01-26,1579996800000,CO,0.0,0.0
2020-01-26,1579996800000,CT,0.0,0.0
2020-01-26,1579996800000,DE,0.0,0.0
2020-01-26,1579996800000,DC,0.0,0.0
2020-01-26,1579996800000,FL,0.0,0.0
2020-01-26,1579996800000,GA,0.0,0.0
2020-01-26,1579996800000,HI,0.0,0.0
2020-01-26,1579996800000,ID,0.0,0.0
2020-01-26,1579996800000,IL,0.007891525614195465,0.0
2020-01-26,1579996800000,IN,0.0,0.0
2020-01-26,1579996800000,IA,0.0,0.0
2020-01-26,1579996800000,KS,0.0,0.0
2020-01-26,1579996800000,KY,0.0,0.0
2020-01-26,1579996800000,LA,0.0,0.0
2020-01-26,1579996800000,ME,0.0,0.0
2020-01-26,1579996800000,MD,0.0,0.0
2020-01-26,1579996800000,MA,0.0,0.0
2020-01-26,1579996800000,MI,0.0,0.0
2020-01-26,1579996800000,MN,0.0,0.0
2020-01-26,1579996800000,MS,0.0,0.0
2020-01-26,1579996800000,MO,0.0,0.0
2020-01-26,1579996800000,MT,0.0,0.0
2020-01-26,1579996800000,NE,0.0,0.0
2020-01-26,1579996800000,NV,0.0,0.0
2020-01-26,1579996800000,NH,0.0,0.0
2020-01-26,1579996800000,NJ,0.0,0.0
2020-01-26,1579996800000,NM,0.0,0.0
2020-01-26,1579996800000,NY,0.0,0.0
2020-01-26,1579996800000,NC,0.0,0.0
2020-01-26,1579996800000,ND,0.0,0.0
2020-01-26,1579996800000,OH,0.0,0.0
2020-01-26,1579996800000,OK,0.0,0.0
2020-01-26,1579996800000,OR,0.0,0.0
2020-01-26,1579996800000,PA,0.0,0.0
2020-01-26,1579996800000,RI,0.0,0.0
2020-01-26,1579996800000,SC,0.0,0.0
2020-01-26,1579996800000,SD,0.0,0.0
2020-01-26,1579996800000,TN,0.0,0.0
2020-01-26,1579996800000,TX,0.0,0.0
2020-01-26,1579996800000,UT,0.0,0.0
2020-01-26,1579996800000,VT,0.0,0.0
2020-01-26,1579996800000,VA,0.0,0.0
2020-01-26,1579996800000,WA,0.0,0.0
2020-01-26,1579996800000,WV,0.0,0.0
2020-01-26,1579996800000,WI,0.0,0.0
2020-01-26,1579996800000,WY,0.0,0.0
2020-01-26,1579996800000,PR,0.0,0.0
2020-01-27,1580083200000,AL,0.0,0.0
2020-01-27,1580083200000,AK,0.0,0.0
2020-01-27,1580083200000,AZ,0.013738684990775159,0.0
2020-01-27,1580083200000,AR,0.0,0.0
2020-01-27,1580083200000,CA,0.005061724823733659,0.0
2020-01-27,1580083200000,CO,0.0,0.0
2020-01-27,1580083200000,CT,0.0,0.0
2020-01-27,1580083200000,DE,0.0,0.0
2020-01-27,1580083200000,DC,0.0,0.0
2020-01-27,1580083200000,FL,0.0,0.0
2020-01-27,1580083200000,GA,0.0,0.0
2020-01-27,1580083200000,HI,0.0,0.0
2020-01-27,1580083200000,ID,0.0,0.0
2020-01-27,1580083200000,IL,0.007891525614195465,0.0
2020-01-27,1580083200000,IN,0.0,0.0
2020-01-27,1580083200000,IA,0.0,0.0
2020-01-27,1580083200000,KS,0.0,0.0
2020-01-27,1580083200000,KY,0.0,0.0
2020-01-27,1580083200000,LA,0.0,0.0
2020-01-27,1580083200000,ME,0.0,0.0
2020-01-27,1580083200000,MD,0.0,0.0
2020-01-27,1580083200000,MA,0.0,0.0
2020-01-27,1580083200000,MI,0.0,0.0
2020-01-27,1580083200000,MN,0.0,0.0
2020-01-27,1580083200000,MS,0.0,0.0
2020-01-27,1580083200000,MO,0.0,0.0
2020-01-27,1580083200000,MT,0.0,0.0
2020-01-27,1580083200000,NE,0.0,0.0
2020-01-27,1580083200000,NV,0.0,0.0
2020-01-27,1580083200000,NH,0.0,0.0
2020-01-27,1580083200000,NJ,0.0,0.0
2020-01-27,1580083200000,NM,0.0,0.0
2020-01-27,1580083200000,NY,0.0,0.0
2020-01-27,1580083200000,NC,0.0,0.0
2020-01-27,1580083200000,ND,0.0,0.0
2020-01-27,1580083200000,OH,0.0,0.0
2020-01-27,1580083200000,OK,0.0,0.0
2020-01-27,1580083200000,OR,0.0,0.0
2020-01-27,1580083200000,PA,0.0,0.0
2020-01-27,1580083200000,RI,0.0,0.0
2020-01-27,1580083200000,SC,0.0,0.0
2020-01-27,1580083200000,SD,0.0,0.0
2020-01-27,1580083200000,TN,0.0,0.0
2020-01-27,1580083200000,TX,0.0,0.0
