datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-06-19,1592524800000,DC,11001,49.0,9952.0,3.0,530.0,1410.1330643047315,75.09752050658237,6.942978310985917,0.4250803047542398,149
2020-06-20,1592611200000,DC,11001,32.0,9984.0,1.0,531.0,1414.6672542221102,75.23921394150044,4.534189917378558,0.14169343491807992,150
2020-06-21,1592697600000,DC,11001,36.0,10020.0,2.0,533.0,1419.768217879161,75.52260081133662,5.100963657050878,0.28338686983615985,151
2020-06-22,1592784000000,DC,11001,38.0,10058.0,2.0,535.0,1425.1525684060482,75.80598768117277,5.3843505268870375,0.28338686983615985,152
2020-06-23,1592870400000,DC,11001,36.0,10094.0,2.0,537.0,1430.2535320630989,76.08937455100893,5.100963657050878,0.28338686983615985,153
2020-06-24,1592956800000,DC,11001,34.0,10128.0,4.0,541.0,1435.0711088503135,76.65614829068124,4.817576787214718,0.5667737396723197,154
2020-06-25,1593043200000,DC,11001,31.0,10159.0,2.0,543.0,1439.463605332774,76.93953516051741,4.392496482460478,0.28338686983615985,155
2020-06-26,1593129600000,DC,11001,26.0,10185.0,3.0,546.0,1443.1476346406441,77.36461546527164,3.6840293078700785,0.4250803047542398,156
2020-06-27,1593216000000,DC,11001,31.0,10216.0,2.0,548.0,1447.5401311231046,77.6480023351078,4.392496482460478,0.28338686983615985,157
2020-06-28,1593302400000,DC,11001,32.0,10248.0,2.0,550.0,1452.0743210404833,77.93138920494397,4.534189917378558,0.28338686983615985,158
2020-06-29,1593388800000,DC,11001,44.0,10292.0,1.0,551.0,1458.3088321768787,78.07308263986204,6.234511136395517,0.14169343491807992,159
2020-06-30,1593475200000,DC,11001,35.0,10327.0,0.0,551.0,1463.2681023990115,78.07308263986204,4.959270222132798,0.0,160
2020-07-01,1593561600000,DC,11001,38.0,10365.0,2.0,553.0,1468.6524529258984,78.35646950969821,5.3843505268870375,0.28338686983615985,161
2020-07-02,1593648000000,DC,11001,25.0,10390.0,1.0,554.0,1472.1947887988506,78.49816294461628,3.5423358729519983,0.14169343491807992,162
2020-07-03,1593734400000,DC,11001,45.0,10435.0,1.0,555.0,1478.5709933701642,78.63985637953436,6.376204571313597,0.14169343491807992,163
2020-07-04,1593820800000,DC,11001,12.0,10447.0,2.0,557.0,1480.2713145891812,78.92324324937053,1.7003212190169592,0.28338686983615985,164
2020-07-05,1593907200000,DC,11001,35.0,10482.0,2.0,559.0,1485.230584811314,79.20663011920668,4.959270222132798,0.28338686983615985,165
2020-07-06,1593993600000,DC,11001,33.0,10515.0,2.0,561.0,1489.9064681636105,79.49001698904286,4.675883352296638,0.28338686983615985,166
2020-07-07,1594080000000,DC,11001,54.0,10569.0,0.0,561.0,1497.557913649187,79.49001698904286,7.651445485576317,0.0,167
2020-07-08,1594166400000,DC,11001,73.0,10642.0,3.0,564.0,1507.9015343982069,79.91509729379709,10.343620749019836,0.4250803047542398,168
2020-07-09,1594252800000,DC,11001,37.0,10679.0,4.0,568.0,1513.1441914901757,80.4818710334694,5.242657091968958,0.5667737396723197,169
2020-07-10,1594339200000,DC,11001,64.0,10743.0,0.0,568.0,1522.2125713249327,80.4818710334694,9.068379834757115,0.0,170
2020-07-11,1594425600000,DC,11001,58.0,10801.0,0.0,568.0,1530.4307905501814,80.4818710334694,8.218219225248637,0.0,171
2020-07-12,1594512000000,DC,11001,46.0,10847.0,0.0,568.0,1536.9486885564131,80.4818710334694,6.517898006231677,0.0,172
2020-07-13,1594598400000,DC,11001,59.0,10906.0,0.0,568.0,1545.30860121658,80.4818710334694,8.359912660166716,0.0,173
2020-07-14,1594684800000,DC,11001,40.0,10946.0,0.0,568.0,1550.9763386133031,80.4818710334694,5.667737396723198,0.0,174
2020-07-15,1594771200000,DC,11001,80.0,11026.0,3.0,571.0,1562.3118134067495,80.90695133822365,11.335474793446396,0.4250803047542398,175
2020-07-16,1594857600000,DC,11001,50.0,11076.0,3.0,574.0,1569.3964851526534,81.33203164297788,7.0846717459039965,0.4250803047542398,176
2020-07-17,1594944000000,DC,11001,39.0,11115.0,3.0,577.0,1574.9225291144587,81.75711194773213,5.526043961805118,0.4250803047542398,177
2020-07-18,1595030400000,DC,11001,79.0,11194.0,1.0,578.0,1586.116310472987,81.89880538265021,11.193781358528316,0.14169343491807992,178
2020-07-19,1595116800000,DC,11001,67.0,11261.0,0.0,578.0,1595.6097706124983,81.89880538265021,9.493460139511356,0.0,179
2020-07-20,1595203200000,DC,11001,78.0,11339.0,1.0,579.0,1606.6618585361084,82.04049881756828,11.052087923610236,0.14169343491807992,180
2020-07-21,1595289600000,DC,11001,88.0,11427.0,1.0,580.0,1619.1308808088997,82.18219225248636,12.469022272791033,0.14169343491807992,181
2020-07-22,1595376000000,DC,11001,102.0,11529.0,0.0,580.0,1633.5836111705437,82.18219225248636,14.452730361644154,0.0,182
2020-07-23,1595462400000,DC,11001,42.0,11571.0,1.0,581.0,1639.534735437103,82.32388568740446,5.951124266559357,0.14169343491807992,183
2020-07-24,1595548800000,DC,11001,78.0,11649.0,0.0,581.0,1650.5868233607134,82.32388568740446,11.052087923610236,0.0,184
2020-07-25,1595635200000,DC,11001,68.0,11717.0,0.0,581.0,1660.2219769351427,82.32388568740446,9.635153574429436,0.0,185
2020-07-26,1595721600000,DC,11001,63.0,11780.0,0.0,581.0,1669.1486633349816,82.32388568740446,8.926686399839037,0.0,186
2020-07-27,1595808000000,DC,11001,78.0,11858.0,1.0,582.0,1680.200751258592,82.46557912232252,11.052087923610236,0.14169343491807992,187
2020-07-28,1595894400000,DC,11001,87.0,11945.0,1.0,583.0,1692.528080096465,82.6072725572406,12.327328837872956,0.14169343491807992,188
2020-07-29,1595980800000,DC,11001,54.0,11999.0,1.0,584.0,1700.1795255820414,82.74896599215869,7.651445485576317,0.14169343491807992,189
2020-07-30,1596067200000,DC,11001,58.0,12057.0,0.0,584.0,1708.3977448072899,82.74896599215869,8.218219225248637,0.0,190
2020-07-31,1596153600000,DC,11001,69.0,12126.0,1.0,585.0,1718.1745918166375,82.89065942707676,9.776847009347517,0.14169343491807992,191
2020-08-01,1596240000000,DC,11001,79.0,12205.0,0.0,585.0,1729.3683731751657,82.89065942707676,11.193781358528316,0.0,192
2020-08-02,1596326400000,DC,11001,69.0,12274.0,1.0,586.0,1739.1452201845132,83.03235286199485,9.776847009347517,0.14169343491807992,193
2020-08-03,1596412800000,DC,11001,39.0,12313.0,0.0,586.0,1744.6712641463184,83.03235286199485,5.526043961805118,0.0,194
2020-08-04,1596499200000,DC,11001,85.0,12398.0,1.0,587.0,1756.7152061143552,83.17404629691292,12.043941968036794,0.14169343491807992,195
2020-08-05,1596585600000,DC,11001,45.0,12443.0,0.0,587.0,1763.0914106856687,83.17404629691292,6.376204571313597,0.0,196
2020-08-06,1596672000000,DC,11001,75.0,12518.0,0.0,587.0,1773.718418304525,83.17404629691292,10.627007618855997,0.0,197
2020-08-07,1596758400000,DC,11001,71.0,12589.0,2.0,589.0,1783.7786521837086,83.45743316674908,10.060233879183675,0.28338686983615985,198
2020-08-08,1596844800000,DC,11001,64.0,12653.0,1.0,590.0,1792.8470320184656,83.59912660166717,9.068379834757115,0.14169343491807992,199
2020-08-09,1596931200000,DC,11001,100.0,12753.0,1.0,591.0,1807.0163755102733,83.74082003658525,14.169343491807993,0.14169343491807992,200
2020-08-10,1597017600000,DC,11001,54.0,12807.0,0.0,591.0,1814.6678209958498,83.74082003658525,7.651445485576317,0.0,201
2020-08-11,1597104000000,DC,11001,89.0,12896.0,2.0,593.0,1827.278536703559,84.0242069064214,12.610715707709113,0.28338686983615985,202
2020-08-12,1597190400000,DC,11001,63.0,12959.0,0.0,593.0,1836.205223103398,84.0242069064214,8.926686399839037,0.0,203
2020-08-13,1597276800000,DC,11001,65.0,13024.0,1.0,594.0,1845.4152963730733,84.16590034133948,9.210073269675195,0.14169343491807992,204
2020-08-14,1597363200000,DC,11001,94.0,13118.0,0.0,594.0,1858.7344792553727,84.16590034133948,13.319182882299513,0.0,205
2020-08-15,1597449600000,DC,11001,41.0,13159.0,3.0,597.0,1864.5439100870137,84.59098064609373,5.8094308316412775,0.4250803047542398,206
2020-08-16,1597536000000,DC,11001,61.0,13220.0,0.0,597.0,1873.1872096170168,84.59098064609373,8.643299530002878,0.0,207
2020-08-17,1597622400000,DC,11001,53.0,13273.0,0.0,597.0,1880.6969616676752,84.59098064609373,7.5097520506582365,0.0,208
2020-08-18,1597708800000,DC,11001,52.0,13325.0,2.0,599.0,1888.0650202834152,84.87436751592988,7.368058615740157,0.28338686983615985,209
2020-08-19,1597795200000,DC,11001,29.0,13354.0,1.0,600.0,1892.1741298960396,85.01606095084797,4.1091096126243185,0.14169343491807992,210
2020-08-20,1597881600000,DC,11001,55.0,13409.0,1.0,601.0,1899.967268816534,85.15775438576604,7.793138920494397,0.14169343491807992,211
2020-08-21,1597968000000,DC,11001,60.0,13469.0,1.0,602.0,1908.4688749116187,85.29944782068412,8.501606095084796,0.14169343491807992,212
2020-08-22,1598054400000,DC,11001,65.0,13534.0,2.0,604.0,1917.678948181294,85.58283469052029,9.210073269675195,0.28338686983615985,213
2020-08-23,1598140800000,DC,11001,56.0,13590.0,0.0,604.0,1925.6137805367064,85.58283469052029,7.9348323554124764,0.0,214
2020-08-24,1598227200000,DC,11001,49.0,13639.0,0.0,604.0,1932.5567588476922,85.58283469052029,6.942978310985917,0.0,215
2020-08-25,1598313600000,DC,11001,45.0,13684.0,0.0,604.0,1938.9329634190058,85.58283469052029,6.376204571313597,0.0,216
2020-08-26,1598400000000,DC,11001,0.0,13684.0,1.0,605.0,1938.9329634190058,85.72452812543837,0.0,0.14169343491807992,217
2020-08-27,1598486400000,DC,11001,110.0,13794.0,0.0,605.0,1954.5192412599947,85.72452812543837,15.586277840988794,0.0,218
2020-08-28,1598572800000,DC,11001,57.0,13851.0,0.0,605.0,1962.5957670503253,85.72452812543837,8.076525790330557,0.0,219
2020-08-29,1598659200000,DC,11001,74.0,13925.0,0.0,605.0,1973.0810812342631,85.72452812543837,10.485314183937916,0.0,220
2020-08-30,1598745600000,DC,11001,34.0,13959.0,1.0,606.0,1977.8986580214778,85.86622156035645,4.817576787214718,0.14169343491807992,221
2020-08-31,1598832000000,DC,11001,33.0,13992.0,1.0,607.0,1982.5745413737745,86.00791499527452,4.675883352296638,0.14169343491807992,222
2020-09-01,1598918400000,DC,11001,57.0,14049.0,0.0,607.0,1990.6510671641051,86.00791499527452,8.076525790330557,0.0,223
2020-09-02,1599004800000,DC,11001,28.0,14077.0,1.0,608.0,1994.6184833418115,86.1496084301926,3.9674161777062382,0.14169343491807992,224
2020-09-03,1599091200000,DC,11001,58.0,14135.0,1.0,609.0,2002.83670256706,86.29130186511068,8.218219225248637,0.14169343491807992,225
