STUSPS,COUNTYGEOID,Population,riskType,risk
CA,06003,1175,Total Kidney (hazard quotient),0.000188412196966
CA,06005,38091,Total Kidney (hazard quotient),0.001483757530549
CA,06007,220000,Total Kidney (hazard quotient),0.00284743001025
CA,06009,45578,Total Kidney (hazard quotient),0.001065482596978
CA,06011,21419,Total Kidney (hazard quotient),0.00183128488829
CA,06013,1048991,Total Kidney (hazard quotient),0.002198035273267
CA,06015,28610,Total Kidney (hazard quotient),0.001539935497215
CA,06017,181058,Total Kidney (hazard quotient),0.001845237459387
CA,06019,930450,Total Kidney (hazard quotient),0.004088537956722
CA,06021,28122,Total Kidney (hazard quotient),0.001358535587216
CA,06023,134620,Total Kidney (hazard quotient),0.001207677729348
CA,06025,174528,Total Kidney (hazard quotient),0.002251366122164
CA,06027,18546,Total Kidney (hazard quotient),0.000143866685746
CA,06029,839631,Total Kidney (hazard quotient),0.003527622524638
CA,06031,152980,Total Kidney (hazard quotient),0.00256797061024
CA,06033,64665,Total Kidney (hazard quotient),0.00054426029295
CA,06035,34895,Total Kidney (hazard quotient),0.000340451580132
CA,06037,9818566,Total Kidney (hazard quotient),0.011170430991532
CA,06039,150865,Total Kidney (hazard quotient),0.002195924805844
CA,06041,252405,Total Kidney (hazard quotient),0.001023888722884
CA,06043,18251,Total Kidney (hazard quotient),0.000376432404529
CA,06045,87841,Total Kidney (hazard quotient),0.000949435516398
CA,06047,255793,Total Kidney (hazard quotient),0.002883999465392
CA,06049,9686,Total Kidney (hazard quotient),0.000276299140603
CA,06051,14202,Total Kidney (hazard quotient),0.000130688570935
CA,06053,415057,Total Kidney (hazard quotient),0.003776298518761
CA,06055,136484,Total Kidney (hazard quotient),0.00170820196877
CA,06057,98764,Total Kidney (hazard quotient),0.001391962913172
CA,06059,3010232,Total Kidney (hazard quotient),0.011028183090256
CA,06061,348432,Total Kidney (hazard quotient),0.005210803327008
CA,06063,20007,Total Kidney (hazard quotient),0.000478956927272
CA,06065,2189636,Total Kidney (hazard quotient),0.004269472087666
CA,06067,1418788,Total Kidney (hazard quotient),0.004859571580868
CA,06069,55269,Total Kidney (hazard quotient),0.002663326006088
CA,06071,2035208,Total Kidney (hazard quotient),0.006351929298715
CA,06073,3095308,Total Kidney (hazard quotient),0.006141090284795
CA,06075,805235,Total Kidney (hazard quotient),0.004325439081388
CA,06077,685303,Total Kidney (hazard quotient),0.003966027875038
CA,06079,269637,Total Kidney (hazard quotient),0.001770199993179
CA,06081,718451,Total Kidney (hazard quotient),0.002398754860178
CA,06083,423895,Total Kidney (hazard quotient),0.001555578234463
CA,06085,1781642,Total Kidney (hazard quotient),0.004686454264428
CA,06087,262382,Total Kidney (hazard quotient),0.006232806711607
CA,06089,177223,Total Kidney (hazard quotient),0.00418907817556
CA,06091,3240,Total Kidney (hazard quotient),0.000372110343995
CA,06093,44900,Total Kidney (hazard quotient),0.000868822901797
CA,06095,413342,Total Kidney (hazard quotient),0.001916329411815
CA,06097,483878,Total Kidney (hazard quotient),0.001747930490459
CA,06099,514453,Total Kidney (hazard quotient),0.003279697058241
CA,06101,94737,Total Kidney (hazard quotient),0.003072157645349
CA,06103,63463,Total Kidney (hazard quotient),0.001556560572929
CA,06105,13786,Total Kidney (hazard quotient),0.000319410894676
CA,06107,442179,Total Kidney (hazard quotient),0.002915112118119
CA,06109,55365,Total Kidney (hazard quotient),0.000975410623347
CA,06111,823318,Total Kidney (hazard quotient),0.004692739525185
CA,06113,200849,Total Kidney (hazard quotient),0.002708795953593
CA,06115,72155,Total Kidney (hazard quotient),0.003023792862604
CO,08001,441603,Total Kidney (hazard quotient),0.002743944298422
CO,08003,15445,Total Kidney (hazard quotient),0.000156981463447
CO,08005,572003,Total Kidney (hazard quotient),0.001929845805137
CO,08007,12084,Total Kidney (hazard quotient),0.000155241877019
CO,08009,3788,Total Kidney (hazard quotient),0.000239499209052
CO,08011,6499,Total Kidney (hazard quotient),0.000362754090763
CO,08013,294567,Total Kidney (hazard quotient),0.001405048561657
CO,08014,55889,Total Kidney (hazard quotient),0.001310259977948
CO,08015,17809,Total Kidney (hazard quotient),0.000112967220641
CO,08017,1836,Total Kidney (hazard quotient),0.000324292372787
CO,08019,9088,Total Kidney (hazard quotient),0.000253439675414
CO,08021,8256,Total Kidney (hazard quotient),7.8418094177e-05
CO,08023,3524,Total Kidney (hazard quotient),7.8780327803e-05
CO,08025,5823,Total Kidney (hazard quotient),0.000184221025918
CO,08027,4255,Total Kidney (hazard quotient),8.0561770209e-05
CO,08029,30952,Total Kidney (hazard quotient),0.00014401372195
CO,08031,600158,Total Kidney (hazard quotient),0.005213191970034
CO,08033,2064,Total Kidney (hazard quotient),0.000177835897465
CO,08035,285465,Total Kidney (hazard quotient),0.000578077783955
CO,08037,52197,Total Kidney (hazard quotient),0.000229922616832
CO,08039,23086,Total Kidney (hazard quotient),0.000353211549608
CO,08041,622263,Total Kidney (hazard quotient),0.000572504403983
CO,08043,46824,Total Kidney (hazard quotient),0.000231610548059
CO,08045,56389,Total Kidney (hazard quotient),0.000499450127786
CO,08047,5441,Total Kidney (hazard quotient),0.00025396425698
CO,08049,14843,Total Kidney (hazard quotient),0.000350382310228
CO,08051,15324,Total Kidney (hazard quotient),9.9290841902e-05
CO,08053,843,Total Kidney (hazard quotient),6.1070450254e-05
CO,08055,6711,Total Kidney (hazard quotient),9.8964450915e-05
